n,Midpoint Error,Trapezoidal Error,Simpson Error,Monte Carlo Error,Midpoint Time,Trapezoidal Time,Simpson Time,Monte Carlo Time
10,0.013460285327468615,0.02708594173924486,0.000830105340931378,0.02502522918247578,0.0068109,0.0063696,5.5e-6,0.0077332
100,0.00013651721842859526,0.0002730513297108075,9.002707070433718e-8,0.003464246867483209,1.98e-5,2.16e-5,1.97e-5,1.75e-5
1000,1.3653666528870242e-6,2.730736894869283e-6,9.64466915750115e-12,9.132750129563329e-5,0.0001669,0.0001612,0.0001796,0.0001643
10000,1.3653063818015202e-8,2.730801602767938e-8,6.354470090622092e-13,1.5236775030316218e-6,0.0016004,0.0015495,0.0050439,0.0015532
100000,1.359029367179918e-10,2.7371377527866685e-10,6.333008877543539e-13,3.1012833634915956e-8,0.0176612,0.0190078,0.025446,0.0180993
1000000,7.759204037581842e-13,3.344632507323749e-12,6.391539458666862e-13,3.873536494669111e-9,0.1967037,0.1950385,0.2131859,0.1858527
